datetime,equity
2019-10-10 14:00:00,10065.371410144544
2019-10-10 15:00:00,10055.799918295375
2019-10-12 04:00:00,9609.343686289647
2019-10-22 15:00:00,9637.142990479084
2019-10-28 14:00:00,9435.36520477689
2019-10-28 16:00:00,9093.802551933866
2019-10-29 01:00:00,8676.499145474094
2019-11-01 12:00:00,8569.90584202745
2019-11-03 12:00:00,8406.533447964293
2019-11-30 13:00:00,8291.587207249624
2019-12-01 10:00:00,7912.65986705291
2019-12-23 17:00:00,7994.636862464257
2019-12-23 18:00:00,8018.687433668556
2019-12-23 19:00:00,8041.710541039423
2019-12-24 00:00:00,7773.8906856791045
2019-12-24 01:00:00,7456.860110841933
2019-12-24 16:00:00,7210.709255642404
2019-12-30 19:00:00,6983.2362428088545
2020-01-06 01:00:00,6952.587895450666
2020-01-06 17:00:00,7034.400027224282
2020-01-08 00:00:00,7534.091020673819
2020-01-08 12:00:00,7935.778864712799
2020-01-08 15:00:00,8488.16966284319
2020-01-08 18:00:00,8494.86946114761
2020-01-09 00:00:00,8004.022220822575
2020-01-11 18:00:00,8136.20460591931
2020-01-13 23:00:00,8053.554550945688
2020-01-15 01:00:00,8390.054763526456
2020-01-15 03:00:00,8647.091386584041
2020-01-15 14:00:00,8804.163690766474
2020-01-18 03:00:00,8947.714632228013
2020-01-18 06:00:00,8962.83464900174
2020-01-20 01:00:00,8481.656976519793
2020-01-28 16:00:00,8674.587060630618
2020-01-28 19:00:00,8748.458050933808
2020-01-29 00:00:00,8999.01873802956
2020-01-29 14:00:00,9285.20260437832
2020-01-29 15:00:00,9552.291686707233
2020-01-29 23:00:00,9471.546494435155
2020-01-30 00:00:00,9424.18166078852
2020-01-30 12:00:00,9518.949355345738
2020-02-04 01:00:00,9289.33434326304
2020-02-07 13:00:00,9338.864361122944
2020-02-07 15:00:00,9358.485888157209
2020-02-09 21:00:00,9513.569945195328
2020-02-10 00:00:00,9749.239872248509
2020-02-10 03:00:00,9803.831817494867
2020-02-12 15:00:00,9955.551359211095
2020-02-24 23:00:00,9663.015601848821
2020-02-25 00:00:00,9352.057160006265
2020-03-06 09:00:00,9384.316494222458
2020-03-06 20:00:00,9376.035887809832
2020-03-24 12:00:00,9865.108930912107
2020-03-24 13:00:00,10507.851410691042
2020-03-26 09:00:00,10127.033688495338
2020-03-27 20:00:00,10025.369502479285
2020-03-27 21:00:00,9958.105015572735
2020-04-03 17:00:00,9434.478824580176
2020-04-03 18:00:00,9390.316925157373
2020-04-05 20:00:00,9282.43897673836
2020-04-07 04:00:00,9677.447470276375
2020-04-07 06:00:00,9981.322298212146
2020-04-07 20:00:00,9833.849234854577
2020-04-08 00:00:00,9530.130589854623
2020-04-19 13:00:00,9344.847031319465
2020-04-19 16:00:00,9268.070103827144
2020-04-24 03:00:00,9797.923089806847
2020-04-24 13:00:00,10126.824954207574
2020-04-24 14:00:00,10076.479105440087
2020-04-25 11:00:00,10134.429923512158
2020-04-28 00:00:00,10135.699077477144
