datetime,equity
2021-01-07 19:00:00,10601.342009366164
2021-01-17 16:00:00,10622.279403588163
2021-05-23 11:00:00,10035.61177373608
2021-05-28 05:00:00,9504.719372358786
2021-05-28 06:00:00,8981.632742476782
2022-06-14 10:00:00,8891.613810831688
2022-07-15 09:00:00,9073.976853421698
2022-07-16 10:00:00,8961.627393581302
2022-07-23 09:00:00,8931.622199781306
2022-08-09 11:00:00,8726.242318881028
2022-11-10 10:00:00,9008.407757777775
2023-03-18 15:00:00,8980.640145942074
2024-03-05 21:00:00,8580.921960205256
2024-03-29 05:00:00,8516.323151671759
